City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
0,Juchipila,MX,2020-05-08 14:11:02,21.42,-103.12,72.27,54,96,4.23,light rain,0.000,0
1,Semnan,IR,2020-05-08 14:11:02,35.57,53.4,76.96,20,7,4.61,clear sky,0.000,0
2,Saldanha,ZA,2020-05-08 14:11:03,-33.01,17.94,84.2,35,0,6.93,clear sky,0.000,0
3,Hermanus,ZA,2020-05-08 14:06:34,-34.42,19.23,71.4,61,0,15.75,clear sky,0.000,0
4,Nanortalik,GL,2020-05-08 14:11:03,60.14,-45.24,41.67,69,100,5.23,overcast clouds,0.000,0
5,Albany,US,2020-05-08 14:11:03,42.6,-73.97,52.0,27,100,11.01,overcast clouds,0.000,0
6,Rikitea,PF,2020-05-08 14:11:03,-23.12,-134.97,75.36,72,42,11.56,scattered clouds,0.000,0
7,Kushmurun,KZ,2020-05-08 14:11:04,52.45,64.63,74.91,30,0,9.22,clear sky,0.000,0
8,Seoul,KR,2020-05-08 14:07:12,37.57,126.98,60.8,87,90,5.82,light rain,0.000,0
9,Yeppoon,AU,2020-05-08 14:11:04,-23.13,150.73,66.2,82,23,4.7,light rain,0.000,0
10,Salto,UY,2020-05-08 14:06:46,-31.38,-57.97,54.0,87,16,6.55,few clouds,0.000,0
11,Kodiak,US,2020-05-08 14:11:04,57.79,-152.41,44.6,93,90,16.11,overcast clouds,0.000,0
12,Bredasdorp,ZA,2020-05-08 14:11:04,-34.53,20.04,71.6,56,0,10.29,clear sky,0.000,0
13,Arraial Do Cabo,BR,2020-05-08 14:11:05,-22.97,-42.03,73.4,78,40,6.93,scattered clouds,0.000,0
14,Fukue,JP,2020-05-08 14:11:05,32.69,128.84,67.82,76,100,28.27,overcast clouds,0.000,0
15,Ushuaia,AR,2020-05-08 14:11:05,-54.8,-68.3,39.2,93,40,9.17,scattered clouds,0.000,0
16,Iqaluit,CA,2020-05-08 14:11:05,63.75,-68.51,30.2,50,75,16.11,broken clouds,0.000,0
17,Kapaa,US,2020-05-08 14:11:05,22.08,-159.32,71.6,68,20,17.22,few clouds,0.000,0
18,Dafeng,CN,2020-05-08 14:11:05,23.45,108.59,82.53,76,29,7.7,scattered clouds,0.000,0
19,Ilulissat,GL,2020-05-08 14:11:06,69.22,-51.1,30.2,54,5,11.41,clear sky,0.000,0
20,Marsh Harbour,BS,2020-05-08 14:11:06,26.54,-77.06,72.84,58,0,13.13,clear sky,0.000,0
21,Lagoa,PT,2020-05-08 14:11:06,39.05,-27.98,60.33,70,99,27.65,light rain,0.000,0
22,Yellowknife,CA,2020-05-08 14:10:53,62.46,-114.35,33.01,88,75,11.41,broken clouds,0.000,0
