City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Niquelandia,BR,83.41,scattered clouds,-14.47,-48.46,Hotel Suinã
5,Yabrud,SY,86.0,overcast clouds,33.97,36.66,صالون مها حيدر - Salon Maha
11,Hermanus,ZA,77.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
16,Bengkulu,ID,77.4,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
21,Victoria,HK,82.0,clear sky,22.29,114.16,Mini Hotel Central
22,Guebwiller,FR,82.4,overcast clouds,47.92,7.2,Le Saint-Barnabé | Hôtel et Spa Haut-Rhin
38,Sao Filipe,CV,75.2,overcast clouds,14.9,-24.5,Tortuga B&B
41,Chumphon,TH,78.15,overcast clouds,10.33,98.83,บ้านอิงน้ำ โฮมสเตย์
42,Arraial Do Cabo,BR,75.2,broken clouds,-22.97,-42.03,Pousada Porto Praia
45,Vilhena,BR,76.73,few clouds,-12.74,-60.15,Hotel Mirage
46,Huarmey,PE,75.33,few clouds,-10.07,-78.15,Hotel Miramar
48,Avarua,CK,77.0,clear sky,-21.21,-159.78,Paradise Inn
51,Patrasaer,IN,87.53,clear sky,23.22,87.52,kali mandir
56,Rikitea,PF,75.49,scattered clouds,-23.12,-134.97,Pension Maro'i
58,Atuona,PF,80.67,overcast clouds,-9.8,-139.03,Villa Enata
65,Awjilah,LY,86.18,clear sky,29.11,21.29,
67,Hua Hin,TH,84.97,overcast clouds,12.57,99.96,InterContinental Hua Hin Resort
69,Komsomolskiy,UZ,75.2,overcast clouds,40.43,71.72,"Hotel ""Ikathouse"""
70,San Patricio,MX,77.0,haze,19.22,-104.7,Hotel Cabo Blanco
73,Alta Floresta,BR,80.28,overcast clouds,-9.88,-56.09,Floresta Amazonica Hotel
76,Butaritari,KI,82.6,overcast clouds,3.07,172.79,Isles Sunset Lodge
80,Puerto Ayora,EC,80.6,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
85,Namatanai,PG,80.26,clear sky,-3.67,152.43,Namatanai Hotel
86,Nouadhibou,MR,77.0,dust,20.93,-17.03,El Medina
